animal,scientific_name,filename,public_path,status,seed,request_id,generated_at,error
貉,Nyctereutes procyonoides,nyctereutes-procyonoides-82c41b59.png,/animals/nyctereutes-procyonoides-82c41b59.png,success,66667299,932e0f6a-9679-951c-aa6a-1ac35a3380b7,2026-08-09T17:38:52+00:00,
水獭,Lutrinae,lutrinae-fe6a0633.png,/animals/lutrinae-fe6a0633.png,success,2141138429,86130f51-9f70-9dac-bf7d-ca9d66d9240e,2026-08-09T17:39:58+00:00,
黄鼬,Mustela sibirica,mustela-sibirica-98217a37.png,/animals/mustela-sibirica-98217a37.png,success,425107969,7f598566-2ebf-9d9d-aed7-709c4672eb30,2026-08-09T17:40:59+00:00,
东方蝾螈,Hypselotriton orientalis,hypselotriton-orientalis-4f454496.png,/animals/hypselotriton-orientalis-4f454496.png,success,1350200416,7bff5eb2-5587-93f5-a183-faed49c06ba7,2026-08-09T17:42:03+00:00,
大麻鳽,Botaurus stellaris,botaurus-stellaris-85dfbce8.png,/animals/botaurus-stellaris-85dfbce8.png,success,118809778,a4cb84e3-8874-92d8-902b-46d9eaae68d8,2026-08-09T17:43:10+00:00,
苍鹭,Ardea cinerea,ardea-cinerea-c72f7d15.png,/animals/ardea-cinerea-c72f7d15.png,success,1214555359,efb24059-4579-9aa9-977c-5e20d285562b,2026-08-09T17:44:08+00:00,
豪猪,,animal-067fd634.png,/animals/animal-067fd634.png,success,129302014,5a457363-99a0-964e-b80f-8a08dd76ec66,2026-08-09T17:44:52+00:00,
黑眉锦蛇,Orthriophis taeniurus,orthriophis-taeniurus-93b198c2.png,/animals/orthriophis-taeniurus-93b198c2.png,success,350666892,22b86cf1-ac0d-9ba4-864d-37aa54c19240,2026-08-09T17:46:23+00:00,
细尾獴,Suricata suricatta,suricata-suricatta-f86eaf58.png,/animals/suricata-suricatta-f86eaf58.png,success,2040780578,f60edc5d-36fc-9cda-a669-6532710c2570,2026-08-09T17:47:29+00:00,
狼,Canis lupus,canis-lupus-dc5e4269.png,/animals/canis-lupus-dc5e4269.png,success,1569942067,dc09e106-6000-94a5-9091-ed353a2f27f7,2026-08-09T17:48:35+00:00,
薮猫,Leptailurus serval,leptailurus-serval-28c3dd7d.png,/animals/leptailurus-serval-28c3dd7d.png,success,704185671,ed0352a1-a1c6-9fde-8bce-9ebef79394a9,2026-08-09T17:49:29+00:00,
狞猫,Caracal caracal,caracal-caracal-89ca096a.png,/animals/caracal-caracal-89ca096a.png,success,184496436,4bb017cd-9cf8-9038-b6ab-76673c04f783,2026-08-09T17:50:30+00:00,
美洲豹,Panthera onca,panthera-onca-82ea7105.png,/animals/panthera-onca-82ea7105.png,success,69179599,5214230f-657a-9eac-a4c6-f09ab7ea007f,2026-08-09T17:51:49+00:00,
猞猁,Lynx lynx,lynx-lynx-41428894.png,/animals/lynx-lynx-41428894.png,success,1115140190,288c0173-83fd-98e9-a859-20c04522ac40,2026-08-09T17:52:53+00:00,
豹,Panthera pardus,panthera-pardus-755c7d62.png,/animals/panthera-pardus-755c7d62.png,success,1989256492,7d5a7291-5620-9aeb-bdc6-7a32bf7484bb,2026-08-09T17:53:48+00:00,
豹猫,Prionailurus bengalensis,prionailurus-bengalensis-5c1b6dc6.png,/animals/prionailurus-bengalensis-5c1b6dc6.png,success,1565562256,30e50d15-6ea6-9987-aa4c-05ca6f71812f,2026-08-09T17:54:53+00:00,
东北虎,Panthera tigris altaica,panthera-tigris-altaica-74fea942.png,/animals/panthera-tigris-altaica-74fea942.png,success,1983107340,011dce7d-00d4-9872-8525-a7f6e156c8ec,2026-08-09T17:55:54+00:00,
孟加拉虎,Panthera tigris tigris,panthera-tigris-tigris-a06a230a.png,/animals/panthera-tigris-tigris-a06a230a.png,success,564087508,450c95a2-c353-93ea-b9bd-6ff0796df089,2026-08-09T17:57:18+00:00,
猕猴,Macaca,macaca-6b8ab721.png,/animals/macaca-6b8ab721.png,success,1824513771,535489cb-3037-9fdc-8937-c445014e1a6a,2026-08-09T17:58:21+00:00,
白眉长臂猿,Hoolock,hoolock-07720c69.png,/animals/hoolock-07720c69.png,success,145175603,ea15d17c-eef8-9521-8744-f916b3bbf6f4,2026-08-09T17:59:32+00:00,
白鹇,Lophura nycthemera,lophura-nycthemera-08b83702.png,/animals/lophura-nycthemera-08b83702.png,success,166551244,fb73a624-8c70-99ec-bc58-abc2cdc3b53f,2026-08-09T18:00:34+00:00,
鸬鹚,Phalacrocorax carbo,phalacrocorax-carbo-6a4d20a3.png,/animals/phalacrocorax-carbo-6a4d20a3.png,success,1803700333,0b7c64cc-e4b4-984b-8ffd-609330d01078,2026-08-09T18:01:28+00:00,
考拉,Phascolarctos cinereus,phascolarctos-cinereus-d26f788b.png,/animals/phascolarctos-cinereus-d26f788b.png,success,1403297877,3c89072f-2148-91d2-add5-b83c457fea43,2026-08-09T18:02:30+00:00,
象,Elephantidae,elephantidae-1f20d2e4.png,/animals/elephantidae-1f20d2e4.png,success,542505646,ee5103d3-1315-98f5-affa-48bcd3e33658,2026-08-09T18:03:26+00:00,
白颊长臂猿,Nomascus leucogenys,nomascus-leucogenys-c9609669.png,/animals/nomascus-leucogenys-c9609669.png,success,1251327539,8395fdae-1ffd-94c5-b751-161c5b366a4a,2026-08-09T18:04:21+00:00,
白掌长臂猿,Hylobates lar,hylobates-lar-7e3a7e9e.png,/animals/hylobates-lar-7e3a7e9e.png,success,2138023528,1fa14535-cda4-9948-a069-cead35d0f21e,2026-08-09T18:05:30+00:00,
黄颊长臂猿,Nomascus gabriellae,nomascus-gabriellae-27bd16fe.png,/animals/nomascus-gabriellae-27bd16fe.png,success,686964424,99ad165b-1bcb-9064-a3ea-8e269dea3a30,2026-08-09T18:06:30+00:00,
红猩猩,Pongo,pongo-9f0eb162.png,/animals/pongo-9f0eb162.png,success,541317420,330ec4ec-3400-99da-bf99-bfebfe6acb54,2026-08-09T18:10:29+00:00,
二趾树懒,Choloepus didactylus,choloepus-didactylus-29e56fa8.png,/animals/choloepus-didactylus-29e56fa8.png,success,723162994,eb2cae48-6db7-93d0-887a-ec17990f42c8,2026-08-09T18:11:40+00:00,
蜂猴,Loris tardigradus,loris-tardigradus-8f7c01b8.png,/animals/loris-tardigradus-8f7c01b8.png,success,280045954,dbc0e1ca-e6c8-935e-b4f7-adc434efbfe2,2026-08-09T18:12:38+00:00,
东黑白疣猴,Colobus guereza,colobus-guereza-66675038.png,/animals/colobus-guereza-66675038.png,success,1738307586,e68660fa-2a0c-970e-b38f-5cf3de012ad6,2026-08-09T18:14:00+00:00,
东部灰大袋鼠,Macropus giganteus,macropus-giganteus-57d0af90.png,/animals/macropus-giganteus-57d0af90.png,success,1493555034,4984c0ec-4b4d-9059-8285-1c6ea8406310,2026-08-09T18:15:33+00:00,
中美毛臀刺鼠,Dasyprocta punctata,dasyprocta-punctata-b2e0f11e.png,/animals/dasyprocta-punctata-b2e0f11e.png,success,873863400,9205473d-0d27-998c-af48-532d953bfc6d,2026-08-09T18:16:24+00:00,
松鼠猴,Saimiri sciureus,saimiri-sciureus-7fff9c57.png,/animals/saimiri-sciureus-7fff9c57.png,success,20235297,9517c335-5276-9a1a-bebb-351a861c0472,2026-08-09T18:17:42+00:00,
双垂鹤鸵,Casuarius casuarius,casuarius-casuarius-69b0e20a.png,/animals/casuarius-casuarius-69b0e20a.png,success,1793460692,77a260cf-dcea-9562-ba85-607c0b1db23f,2026-08-09T18:18:58+00:00,
普通绒,Callithrix jacchus,callithrix-jacchus-1714e430.png,/animals/callithrix-jacchus-1714e430.png,success,407505914,6a2461ce-fcaa-9013-9d8b-ebe794b06ef6,2026-08-09T18:19:57+00:00,
南浣熊,Nasua nasua,nasua-nasua-93c65fb2.png,/animals/nasua-nasua-93c65fb2.png,success,352028540,5a5c9fa0-2fb1-9d9a-b355-817a1edd7ce4,2026-08-09T18:21:02+00:00,
棉顶楈,Saguinus oedipus,saguinus-oedipus-0390610d.png,/animals/saguinus-oedipus-0390610d.png,success,80054487,2d9e9f52-0503-9d90-817c-be53cca53c62,2026-08-09T18:22:12+00:00,
美洲红鹮,Eudocimus ruber,eudocimus-ruber-5ba65ff5.png,/animals/eudocimus-ruber-5ba65ff5.png,success,1557891007,038697f1-d896-91bc-a941-aa7f5cba36d5,2026-08-09T18:23:26+00:00,
美洲红鹳,Phoenicopterus ruber,phoenicopterus-ruber-8db5bd89.png,/animals/phoenicopterus-ruber-8db5bd89.png,success,250275155,9a621992-f7b2-9b4c-8694-c7794a74639a,2026-08-09T18:25:34+00:00,
金头狮面狨,Leontopithecus rosalia,leontopithecus-rosalia-56b5d1db.png,/animals/leontopithecus-rosalia-56b5d1db.png,success,1475017125,27c86216-996c-97f7-803a-ea45f7985a22,2026-08-09T18:26:55+00:00,
红脸蜘蛛猴,Ateles paniscus,ateles-paniscus-8690a866.png,/animals/ateles-paniscus-8690a866.png,success,130404400,80832b45-4a0c-9dd5-b132-9c688efa4780,2026-08-09T18:28:05+00:00,
红吼猴,Alouatta seniculus,alouatta-seniculus-ca4c7882.png,/animals/alouatta-seniculus-ca4c7882.png,success,1266786380,2f634258-8d95-929d-b7aa-c590a5abd701,2026-08-09T18:29:06+00:00,
赤掌縃,Saguinus midas,saguinus-midas-cfa9a131.png,/animals/saguinus-midas-cfa9a131.png,success,1356777723,edf1a14b-9fac-9b73-979c-351d3b8ac14b,2026-08-09T18:30:09+00:00,
合趾猿,Symphalangus syndactylus,symphalangus-syndactylus-c0a3e987.png,/animals/symphalangus-syndactylus-c0a3e987.png,success,1104744785,8f10bdda-e790-9f6a-bb56-0096086fb38d,2026-08-09T18:31:07+00:00,
鞭笞鵎鵼,Ramphastos toco,ramphastos-toco-41773566.png,/animals/ramphastos-toco-41773566.png,success,1118592304,1d307ca7-98b9-982d-83da-4d679a6725e3,2026-08-09T18:32:12+00:00,
白面僧面猴,Pithecia pithecia,pithecia-pithecia-65ecfba9.png,/animals/pithecia-pithecia-65ecfba9.png,success,1730290547,d2740ede-bcec-9635-8997-37c62602dfc3,2026-08-09T18:33:26+00:00,
红背须僧面猴,Chiropotes chiropotes,chiropotes-chiropotes-5716205a.png,/animals/chiropotes-chiropotes-5716205a.png,success,1481328676,3f22adc1-666b-9145-a10f-19b9a3d83cec,2026-08-09T18:34:36+00:00,
斑帆蜥,Hydrosaurus pustulatus,hydrosaurus-pustulatus-a073b743.png,/animals/hydrosaurus-pustulatus-a073b743.png,success,564715277,c041aedc-38f6-990d-a1a8-6345a558a8d6,2026-08-09T18:35:50+00:00,
六带犰狳,Euphractus sexcinctus,euphractus-sexcinctus-58b23ed5.png,/animals/euphractus-sexcinctus-58b23ed5.png,success,1508337311,3bb6c76c-5c1a-9c71-9de4-af67068e69fb,2026-08-09T18:36:51+00:00,
鸸鹋,Dromaius novaehollandiae,dromaius-novaehollandiae-b32e2440.png,/animals/dromaius-novaehollandiae-b32e2440.png,success,878922762,01a6a25c-ae1c-91f1-8478-5e83bfcbf901,2026-08-09T18:37:47+00:00,
